index	group	family	subfamily	protein	uniprot	protein_name	gene_synonyms	protein_alternative_names	function
23	GT-A	GT21	GT21-4	UGCG	Q16739	Ceramide glucosyltransferase		GLCT-1;Glucosylceramide synthase;Glycosylceramide synthase;UDP-glucose ceramide glucosyltransferase;UDP-glucose:N-acylsphingosine D-glucosyltransferase	Participates in the initial step of the glucosylceramide-based glycosphingolipid/GSL synthetic pathway at the cytosolic surface of the Golgi (PubMed:1532799, PubMed:8643456). Catalyzes the transfer of glucose from UDP-glucose to ceramide to produce glucosylceramide/GlcCer (such as beta-D-glucosyl-(1<->1')-N-acylsphing-4-enine) (PubMed:1532799, PubMed:8643456). GlcCer is the core component of glycosphingolipids/GSLs, amphipathic molecules consisting of a ceramide lipid moiety embedded in the outer leaflet of the membrane, linked to one of hundreds of different externally oriented oligosaccharide structures (PubMed:8643456). Glycosphingolipids are essential components of membrane microdomains that mediate membrane trafficking and signal transduction, implicated in many fundamental cellular processes, including growth, differentiation, migration, morphogenesis, cell-to-cell and cell-to-matrix interactions (By similarity). They are required for instance in the proper development and functioning of the nervous system (By similarity). As an example of their role in signal transduction, they regulate the leptin receptor/LEPR in the leptin-mediated signaling pathway (By similarity). They also play an important role in the establishment of the skin barrier regulating keratinocyte differentiation and the proper assembly of the cornified envelope (By similarity). The biosynthesis of GSLs is also required for the proper intestinal endocytic uptake of nutritional lipids (By similarity). Catalyzes the synthesis of xylosylceramide/XylCer (such as beta-D-xylosyl-(1<->1')-N-acylsphing-4-enine) using UDP-Xyl as xylose donor (PubMed:33361282)
24	GT-A	GT24	GT24-1	UGGT2	Q9NYU1	UDP-glucose:glycoprotein glucosyltransferase 2	UGCGL2;UGT2	UDP--Glc:glycoprotein glucosyltransferase 2;UDP-glucose ceramide glucosyltransferase-like 1	Recognizes glycoproteins with minor folding defects. Reglucosylates single N-glycans near the misfolded part of the protein, thus providing quality control for protein folding in the endoplasmic reticulum. Reglucosylated proteins are recognized by calreticulin for recycling to the endoplasmic reticulum and refolding or degradation
25	GT-A	GT24	GT24-1	UGGT1	Q9NYU2	UDP-glucose:glycoprotein glucosyltransferase 1	GT;UGCGL1;UGGT;UGT1;UGTR	UDP--Glc:glycoprotein glucosyltransferase;UDP-glucose ceramide glucosyltransferase-like 1	Recognizes glycoproteins with minor folding defects. Reglucosylates single N-glycans near the misfolded part of the protein, thus providing quality control for protein folding in the endoplasmic reticulum. Reglucosylated proteins are recognized by calreticulin for recycling to the endoplasmic reticulum and refolding or degradation
26	GT-A	GT25	-	COLGALT2~b	Q8IYK4	Procollagen galactosyltransferase 2	C1orf17;GLT25D2;KIAA0584	Collagen beta(1-O)galactosyltransferase 2;Glycosyltransferase 25 family member 2;Hydroxylysine galactosyltransferase 2	Beta-galactosyltransferase that transfers beta-galactose to hydroxylysine residues of collagen
27	GT-A	GT25	-	CERCAM	Q5T4B2	Inactive glycosyltransferase 25 family member 3	CEECAM1;GLT25D3;KIAA1502	Cerebral endothelial cell adhesion molecule	Probable cell adhesion protein involved in leukocyte transmigration across the blood-brain barrier. Does not express any beta-galactosyltransferase activity in vitro
28	GT-A	GT25	-	COLGALT1~b	Q8NBJ5	Procollagen galactosyltransferase 1	GLT25D1	Collagen beta(1-O)galactosyltransferase 1;Glycosyltransferase 25 family member 1;Hydroxylysine galactosyltransferase 1	Beta-galactosyltransferase that transfers beta-galactose to hydroxylysine residues of type I collagen (PubMed:19075007, PubMed:22216269, PubMed:27402836). By acting on collagen glycosylation, facilitates the formation of collagen triple helix (PubMed:27402836). Also involved in the biosynthesis of collagen type IV (PubMed:30412317)
29	GT-A	GT27	GT27-1	GALNT11	Q8NCW6	Polypeptide N-acetylgalactosaminyltransferase 11		Polypeptide GalNAc transferase 11;Protein-UDP acetylgalactosaminyltransferase 11;UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 11	Polypeptide N-acetylgalactosaminyltransferase that catalyzes the initiation of protein O-linked glycosylation and is involved in left/right asymmetry by mediating O-glycosylation of NOTCH1. O-glycosylation of NOTCH1 promotes activation of NOTCH1, modulating the balance between motile and immotile (sensory) cilia at the left-right organiser (LRO). Polypeptide N-acetylgalactosaminyltransferases catalyze the transfer of an N-acetyl-D-galactosamine residue to a serine or threonine residue on the protein receptor. Displays the same enzyme activity toward MUC1, MUC4, and EA2 than GALNT1. Not involved in glycosylation of erythropoietin (EPO)
30	GT-A	GT27	GT27-1	GALNTL5	Q7Z4T8	Inactive polypeptide N-acetylgalactosaminyltransferase-like protein 5	GALNT15	Polypeptide GalNAc transferase 15;Protein-UDP acetylgalactosaminyltransferase 15;UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 15	Probable inactive glycosyltransferase required during spermatid development. May participate in protein loading into the acrosomes and accumulation of ubiquitin-proteasome systems around the head-tail coupling apparatus region
31	GT-A	GT27	GT27-1	GALNT2	Q10471	Polypeptide N-acetylgalactosaminyltransferase 2		Polypeptide GalNAc transferase 2;Protein-UDP acetylgalactosaminyltransferase 2;UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 2	Catalyzes the initial reaction in O-linked oligosaccharide biosynthesis, the transfer of an N-acetyl-D-galactosamine residue to a serine or threonine residue on the protein receptor. Has a broad spectrum of substrates for peptides such as EA2, Muc5AC, Muc1a, Muc1b. Probably involved in O-linked glycosylation of the immunoglobulin A1 (IgA1) hinge region. Involved in O-linked glycosylation of APOC-III, ANGPTL3 and PLTP. It participates in the regulation of HDL-C metabolism (PubMed:27508872, PubMed:32293671)
32	GT-A	GT27	GT27-1	GALNTL6	Q49A17	Polypeptide N-acetylgalactosaminyltransferase-like 6	GALNT17	Polypeptide GalNAc transferase 17;Protein-UDP acetylgalactosaminyltransferase 17;Putative polypeptide N-acetylgalactosaminyltransferase 17;UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 17	Catalyzes the initial reaction in O-linked oligosaccharide biosynthesis, the transfer of an N-acetyl-D-galactosamine residue to a serine or threonine residue on the protein receptor
33	GT-A	GT27	GT27-1	GALNT18	Q6P9A2	Polypeptide N-acetylgalactosaminyltransferase 18	GALNTL4	Polypeptide GalNAc transferase 18;Polypeptide GalNAc transferase-like protein 4;Polypeptide N-acetylgalactosaminyltransferase-like protein 4;Protein-UDP acetylgalactosaminyltransferase-like protein 4;UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase-like protein 4	Catalyzes the initial reaction in O-linked oligosaccharide biosynthesis, the transfer of an N-acetyl-D-galactosamine (GalNAc) residue from UDP-GalNAc to a serine or threonine residue on the protein receptor
34	GT-A	GT27	GT27-1	GALNT15	Q8N3T1	Polypeptide N-acetylgalactosaminyltransferase 15	GALNTL2	Polypeptide GalNAc transferase-like protein 2;Polypeptide N-acetylgalactosaminyltransferase-like protein 2;Protein-UDP acetylgalactosaminyltransferase-like protein 2;UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase-like protein 2	Catalyzes the initial reaction in O-linked oligosaccharide biosynthesis, the transfer of an N-acetyl-D-galactosamine residue to a serine or threonine residue on the protein receptor. Although it displays a much weaker activity toward all substrates tested compared to GALNT2, it is able to transfer up to seven GalNAc residues to the Muc5AC peptide, suggesting that it can fill vicinal Thr/Ser residues in cooperation with other GALNT proteins. Prefers Muc1a as substrate
35	GT-A	GT27	GT27-1	GALNT17	Q6IS24	Polypeptide N-acetylgalactosaminyltransferase 17	WBSCR17	Polypeptide GalNAc transferase-like protein 3;Protein-UDP acetylgalactosaminyltransferase-like protein 3;UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase-like protein 3;Williams-Beuren syndrome chromosomal region 17 protein	May catalyze the initial reaction in O-linked oligosaccharide biosynthesis, the transfer of an N-acetyl-D-galactosamine residue to a serine or threonine residue on the protein receptor
36	GT-A	GT27	GT27-1	GALNT5	Q7Z7M9	Polypeptide N-acetylgalactosaminyltransferase 5		Polypeptide GalNAc transferase 5;Protein-UDP acetylgalactosaminyltransferase 5;UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 5	Catalyzes the initial reaction in O-linked oligosaccharide biosynthesis, the transfer of an N-acetyl-D-galactosamine residue to a serine or threonine residue on the protein receptor. Has activity toward EA2 peptide substrate, but has a weak activity toward Muc2 or Muc1b substrates (By similarity)
37	GT-A	GT27	GT27-1	GALNT9	Q9HCQ5	Polypeptide N-acetylgalactosaminyltransferase 9		Polypeptide GalNAc transferase 9;Protein-UDP acetylgalactosaminyltransferase 9;UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 9	Catalyzes the initial reaction in O-linked oligosaccharide biosynthesis, the transfer of an N-acetyl-D-galactosamine residue to a serine or threonine residue on the protein receptor. Does not glycosylate apomucin or SDC3
38	GT-A	GT27	GT27-1	GALNT12	Q8IXK2	Polypeptide N-acetylgalactosaminyltransferase 12		Polypeptide GalNAc transferase 12;Protein-UDP acetylgalactosaminyltransferase 12;UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 12	Catalyzes the initial reaction in O-linked oligosaccharide biosynthesis, the transfer of an N-acetyl-D-galactosamine residue to a serine or threonine residue on the protein receptor. Has activity toward non-glycosylated peptides such as Muc5AC, Muc1a and EA2, and no detectable activity with Muc2 and Muc7. Displays enzymatic activity toward the Gal-NAc-Muc5AC glycopeptide, but no detectable activity to mono-GalNAc-glycosylated Muc1a, Muc2, Muc7 and EA2. May play an important role in the initial step of mucin-type oligosaccharide biosynthesis in digestive organs
39	GT-A	GT27	GT27-1	GALNT14	Q96FL9	Polypeptide N-acetylgalactosaminyltransferase 14		Polypeptide GalNAc transferase 14;Protein-UDP acetylgalactosaminyltransferase 14;UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 14	Catalyzes the initial reaction in O-linked oligosaccharide biosynthesis, the transfer of an N-acetyl-D-galactosamine residue to a serine or threonine residue on the protein receptor. Displays activity toward mucin-derived peptide substrates such as Muc2, Muc5AC, Muc7, and Muc13 (-58). May be involved in O-glycosylation in kidney
40	GT-A	GT27	GT27-1	GALNT16	Q68VJ8	Polypeptide N-acetylgalactosaminyltransferase	GALNTL1	Protein-UDP acetylgalactosaminyltransferase	Catalyzes the initial reaction in O-linked oligosaccharide biosynthesis, the transfer of an N-acetyl-D-galactosamine residue to a serine or threonine residue on the protein receptor
41	GT-A	GT27	GT27-1	GALNT1	Q10472	Polypeptide N-acetylgalactosaminyltransferase 1		Polypeptide GalNAc transferase 1;Protein-UDP acetylgalactosaminyltransferase 1;UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 1	Catalyzes the initial reaction in O-linked oligosaccharide biosynthesis, the transfer of an N-acetyl-D-galactosamine residue to a serine or threonine residue on the protein receptor (PubMed:8690719, PubMed:9295285). Has a broad spectrum of substrates such as apomucin-, MUC5AC-, MUC1- and MUC2-derived peptides (PubMed:9295285)
42	GT-A	GT27	GT27-1	GALNT3	Q14435	Polypeptide N-acetylgalactosaminyltransferase 3		Polypeptide GalNAc transferase 3;Protein-UDP acetylgalactosaminyltransferase 3;UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 3	Catalyzes the initial reaction in O-linked oligosaccharide biosynthesis, the transfer of an N-acetyl-D-galactosamine residue to a serine or threonine residue on the protein receptor (PubMed:16638743, PubMed:31932717, PubMed:8663203, PubMed:9295285). Has activity toward HIV envelope glycoprotein gp120, EA2, MUC2, MUC1A and MUC5AC (PubMed:8663203, PubMed:9295285). Probably glycosylates fibronectin in vivo (PubMed:9295285). Glycosylates FGF23 (PubMed:16638743, PubMed:31932717)
43	GT-A	GT27	GT27-1	GALNT4	Q8N4A0	Polypeptide N-acetylgalactosaminyltransferase 4		Polypeptide GalNAc transferase 4;Protein-UDP acetylgalactosaminyltransferase 4;UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 4	Catalyzes the initial reaction in O-linked oligosaccharide biosynthesis, the transfer of an N-acetyl-D-galactosamine residue to a serine or threonine residue on the protein receptor. Has a highest activity toward Muc7, EA2 and Muc2, with a lowest activity than GALNT2. Glycosylates 'Thr-57' of SELPLG
44	GT-A	GT27	GT27-1	GALNT7	Q86SF2	N-acetylgalactosaminyltransferase 7		Polypeptide GalNAc transferase 7;Protein-UDP acetylgalactosaminyltransferase 7;UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 7	Glycopeptide transferase involved in O-linked oligosaccharide biosynthesis, which catalyzes the transfer of an N-acetyl-D-galactosamine residue to an already glycosylated peptide. In contrast to other proteins of the family, it does not act as a peptide transferase that transfers GalNAc onto serine or threonine residue on the protein receptor, but instead requires the prior addition of a GalNAc on a peptide before adding additional GalNAc moieties. Some peptide transferase activity is however not excluded, considering that its appropriate peptide substrate may remain unidentified
45	GT-A	GT27	GT27-1	GALNT10	Q86SR1	Polypeptide N-acetylgalactosaminyltransferase 10		Polypeptide GalNAc transferase 10;Protein-UDP acetylgalactosaminyltransferase 10;UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 10	Catalyzes the initial reaction in O-linked oligosaccharide biosynthesis, the transfer of an N-acetyl-D-galactosamine residue to a serine or threonine residue on the protein receptor. Has activity toward Muc5Ac and EA2 peptide substrates
